Timestamp,CPU (%),Memory (KB)
2025-04-04 13:00:37, 0.00, 741376
2025-04-04 13:00:38, 0.00, 741376
2025-04-04 13:00:39, 0.00, 741376
2025-04-04 13:00:40, 0.00, 741376
2025-04-04 13:00:41, 0.00, 741376
2025-04-04 13:00:42, 0.00, 741376
2025-04-04 13:00:43, 0.00, 741376
2025-04-04 13:00:44, 0.00, 741376
2025-04-04 13:00:45, 0.00, 741376
2025-04-04 13:00:46, 0.00, 741376
2025-04-04 13:00:47, 0.00, 741376
2025-04-04 13:00:48, 0.00, 741376
2025-04-04 13:00:49, 0.00, 741376
2025-04-04 13:00:50, 0.00, 741376
2025-04-04 13:00:51, 0.00, 741376
2025-04-04 13:00:52, 0.00, 741376
2025-04-04 13:00:53, 0.00, 741376
2025-04-04 13:00:54, 0.00, 741376
2025-04-04 13:00:55, 0.00, 741376
2025-04-04 13:00:56, 0.00, 741376
2025-04-04 13:00:57, 0.00, 741376
2025-04-04 13:00:58, 0.00, 741376
2025-04-04 13:00:59, 0.00, 741376
2025-04-04 13:01:00, 0.00, 741376
2025-04-04 13:01:01, 0.00, 741376
2025-04-04 13:01:02, 0.00, 741376
2025-04-04 13:01:03, 0.00, 741376
2025-04-04 13:01:04, 0.00, 741376
2025-04-04 13:01:05, 0.00, 741376
2025-04-04 13:01:06, 0.00, 741376
2025-04-04 13:01:07, 0.00, 741376
2025-04-04 13:01:08, 0.00, 741376
2025-04-04 13:01:09, 0.00, 741376
2025-04-04 13:01:10, 0.00, 741376
2025-04-04 13:01:11, 0.00, 741376
2025-04-04 13:01:12, 0.00, 741376
2025-04-04 13:01:13, 0.00, 741376
2025-04-04 13:01:14, 0.00, 741376
2025-04-04 13:01:15, 0.00, 741376
2025-04-04 13:01:16, 0.00, 741376
2025-04-04 13:01:17, 0.00, 741376
2025-04-04 13:01:18, 0.00, 741376
2025-04-04 13:01:19, 0.00, 741376
2025-04-04 13:01:20, 0.00, 741376
2025-04-04 13:01:21, 0.00, 741376
2025-04-04 13:01:22, 0.00, 741376
2025-04-04 13:01:23, 0.00, 741376
2025-04-04 13:01:24, 0.00, 741376
2025-04-04 13:01:25, 0.00, 741376
2025-04-04 13:01:26, 0.00, 741376
2025-04-04 13:01:27, 0.00, 741376
2025-04-04 13:01:28, 0.00, 741376
2025-04-04 13:01:29, 0.00, 741376
2025-04-04 13:01:30, 0.00, 741376
2025-04-04 13:01:31, 0.00, 741376
2025-04-04 13:01:32, 0.00, 741376
2025-04-04 13:01:33, 0.00, 741376
2025-04-04 13:01:34, 0.00, 741376
2025-04-04 13:01:35, 0.00, 741376
2025-04-04 13:01:36, 0.00, 741376
